Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/20/23,Friday,13.95,Chicken Sandwich ,Food,Debit
,Friday,4.05,Fries,Food,Debit
,Friday,5.5,Protein Shake,Food,Cash
,Friday,3.5,Body Armor Drink,Food,Cash
,Friday,45,Gas,Bills,Debit
1/21/23,Saturday,35,Gas,Bills,Debit
,Saturday,3.5,Horchata,Food,Cash
,Saturday,12.5,Tacos,Food,Cash
,Saturday,,,,
,Saturday,,,,
1/22/23,Sunday,21.8,In N Out,Food,Cash
,Sunday,3.35,Gatorade,Food,Cash
,Sunday,16.65,Mini Golf,Entertainment and Recreation,Debit
,Sunday,20,Gas,Bills,Debit
1/23/23,Monday,8.6,mango smoothie,Food,Debit
,Monday,2.8,dorito chips,Food,Debit
,Monday,15.85,pizza,Food,Cash
,Monday,8.99,netfllix sub,Entertainment and Recreation,Debit
1/24/23,Tuesday,2.85,gatorade,Food,Cash
,Tuesday,35,gas,Travel,Debit
,Tuesday,1.5,gum,Food,Cash
,Tuesday,,,,
1/25/23,Wednesday,250,Saving For a Better Car,Financial goals and Savings,Cash
,Wednesday,35,Gas,Travel,Debit
,Wednesday,6.5,Sandwich,Food,Debit
,Wednesday,,,,
,Wednesday,,,,
1/26/23,Thursday,2,Water Bottle,Food,Cash
,Thursday,16.7,BBQ Plate,Food,Debit
,Thursday,5.5,Protein Shake,Food,Debit
,Thursday,,,,
,Thursday,,,,
1/27/23,Friday,250,Saving For a Better Car,Financial goals and Savings,Cash
,Friday,30.18,Gas,Travel,Debit
,Friday,39.99,Fifa 23,Entertainment and Recreation,Debit
,Friday,15.6,Movies,Entertainment and Recreation,Debit
,Friday,10.5,Popcorn,Food,Debit
1/28/23,Saturday,35.15,Gas,Travel,Debit
,Saturday,2,Water Bottle,Food,Cash
,Saturday,6,Protein Shake,Food,Debit
,Saturday,150,Essential Hoodie,Entertainment and Recreation,Debit
1/29/23,Sunday,6.75,Nerd Candy,Food,Cash
,Sunday,18,Bridge Toll Fee,Bills,Debit
,Sunday,250,Saving for a Better Car,Financial goals and Savings,Cash
,Sunday,4.8,Gatorade,Food,Debit
1/30/23,Monday,5.65,Eletrolyte,Food,Cash
,Monday,35.25,Gas,Travel,Debit
,Monday,2.55,Gum,Food,Debit
,Monday,6.85,Belvita Cookies,Food,Debit
1/31/23,Tuesday,7,8 Ball Pool,Entertainment and Recreation,Cash
,Tuesday,10,Arcade Games,Entertainment and Recreation,Cash
,Tuesday,25,Gas,Travel,Debit
,Tuesday,5.4,Candy,Food,Debit
2/1/23,Wednesday,500,Rent,Housing,Debit
,Wednesday,24.99,Cake,Food,Debit
,Wednesday,8.99,Rits Cookies,Food,Cash
,Wednesday,7.99,Protein Shake,Food,Cash
,,,,,
2/2/23,Thursday,3.95,Gatorade,Food,Debit
,Thursday,4.65,Protein Bar,Food,Debit
,Thursday,35.89,Gas,Travel,Cash
,Thursday,1.99,Water ,Food,Cash
,Thursday,,,,Cash
2/3/23,Friday,16.65,BBQ Plate,Food,Debit
,Friday,5.89,Protein Shake,Food,Cash
,Friday,20,Arcade,Entertainment and Recreation,Debit
,Friday,,,,
,Friday,,,,
2/4/23,Saturday,34.76,Gas,Travel,Debit
,Saturday,350,SAVING FOR BETTER CAR,Financial goals and Savings,Cash
,Saturday,8.99,Bowling,Entertainment and Recreation,Debit
,Saturday,,,,
2/5/23,Sunday,16.79,Breakfast Platter,Food,Debit
,Sunday,34,Gas,Financial goals and Savings,Debit
,Sunday,100,Soccer Season,Entertainment and Recreation,Cash
,Sunday,,,,
